ISO3,Country,Carbon Tax,ETS
ARG,Argentina,2019,2018
AUS,Australia,2012,0
AUT,Austria,2023,2022
CAN,Canada,2019,0
CHE,Switzerland,2008,2008
CHL,Chile,2017,2017
CHN,China,2022,2021
COL,Colombia,2017,2017
DEU,Germany,2021,2021
DNK,Denmark,1992,1992
ESP,Spain,2014,2014
EST,Estonia,2000,0
FIN,Finland,1990,1990
FRA,France,2014,2014
GBR,United Kingdom,2013,2021
IDN,Indonesia,0,2023
IRL,Ireland,2010,2010
ISL,Iceland,2010,2010
JPN,Japan,2012,2012
KAZ,Kazakhstan,2014,2013
KOR,"Korea, Rep.",2015,2015
LIE,Liechtenstein,2008,0
LUX,Luxembourg,2021,2021
LVA,Latvia,2004,0
MEX,Mexico,2014,2014
NLD,Netherlands,2021,2021
NOR,Norway,1991,1991
NZL,New Zealand,2010,2008
POL,Poland,1990,1990
PRT,Portugal,2015,2015
SGP,Singapore,2019,2019
SVN,Slovenia,1996,1996
SWE,Sweden,1991,1991
UKR,Ukraine,2011,2011
URY,Uruguay,2022,0
ZAF,South Africa,2020,2019
