Country,Wave,B001,B002,B003,B008
ALB,3,,60.775862068965516,,52.52100840336135
ALB,4,74.35897435897436,68.24034334763948,57.383966244725734,53.58649789029536
AND,5,62.845849802371546,58.661417322834644,74.40944881889764,80.0796812749004
AND,7,,,,77.07006369426752
ARG,2,64.75095785440614,53.61216730038023,64.23076923076924,
ARG,3,,51.973684210526315,,50.50847457627119
ARG,4,73.10704960835508,44.59102902374671,84.4155844155844,49.86301369863014
ARG,5,55.43859649122807,43.05555555555556,86.89655172413792,72.3404255319149
ARG,6,,,,62.845849802371546
ARG,7,,,,46.09665427509294
ARM,3,,64.24657534246575,,50.150150150150154
ARM,6,,,,43.111111111111114
ARM,7,,,,56.59340659340659
AUS,3,,70.84805653710248,,66.4259927797834
AUS,5,68.94736842105263,54.4973544973545,63.297872340425535,76.19047619047619
AUS,6,,,,64.23841059602648
AUS,7,,,,74.57627118644068
AZE,3,,66.04046242774567,,55.90909090909091
AZE,6,,,,34.285714285714285
BFA,5,79.5,75.99337748344371,70.14681892332788,53.80228136882129
BGD,3,,89.73384030418251,,47.233201581027664
BGD,4,80.56537102473497,75.53191489361703,96.01990049751244,53.979238754325266
BGD,7,,,,50.77720207253886
BGR,3,,69.04761904761905,,47.56756756756757
BGR,5,62.42038216560509,57.89473684210527,75.15527950310559,46.75324675324675
BIH,3,,68.21428571428572,,45.55555555555556
BIH,4,80.05865102639295,73.91304347826086,63.372093023255815,45.26627218934911
BLR,2,,67.3469387755102,,
BLR,3,,69.21397379912663,,56.11510791366906
BLR,6,,,,59.947643979057595
BOL,7,,,,79.49400798934754
BRA,2,75.5813953488372,72.84671532846716,59.411764705882355,
BRA,3,,74.72035794183445,,53.669724770642205
BRA,5,54.229934924078094,50.108459869848154,79.03930131004367,62.47191011235955
BRA,6,,,,72.22222222222221
BRA,7,,,,67.37400530503979
CAN,4,79.24528301886792,66.4850136239782,59.078590785907856,67.69662921348315
CAN,5,73.38709677419355,67.11590296495957,63.881401617250674,72.85318559556787
CAN,7,,,,71.92307692307692
CHE,3,,51.24999999999999,,43.913043478260875
