Country,Wave,B001,B002,B003,B008
ALB,3,,57.45164960182025,,44.66130884041332
ALB,4,70.1098901098901,62.60964912280702,62.84454244762955,47.576099210822996
AND,5,62.81661600810538,62.903225806451616,68.92028254288597,83.82204246713853
AND,7,,,,74.31192660550458
ARG,2,62.097611630321914,50.2606882168926,71.74139728884255,
ARG,3,,46.57142857142857,,44.45534838076546
ARG,4,66.77551020408163,41.26333059885152,86.46677471636953,45.4390451832907
ARG,5,56.45330535152151,43.78265412748171,86.72936259143155,73.70689655172413
ARG,6,,,,61.430119176598055
ARG,7,,,,47.344632768361585
ARM,3,,56.92549842602308,,43.96999422965955
ARM,6,,,,43.8877755511022
ARM,7,,,,50.04262574595055
AUS,3,,68.70342771982116,,61.243052046488124
AUS,5,58.972503617945,58.152958152958156,62.725306416726745,67.34545454545454
AUS,6,,,,60.59147180192572
AUS,7,,,,67.32617297908423
AZE,3,,54.87674169346195,,50.169875424688556
AZE,6,,,,34.90471414242728
BFA,5,80.49132947976878,75.26804860614725,71.41833810888252,55.700325732899024
BGD,3,,89.11111111111111,,45.881447267128564
BGD,4,79.44606413994168,75.80174927113703,96.41891891891892,54.90196078431373
BGD,7,,,,47.65694076038904
BGR,3,,61.795166858457996,,43.324607329842934
BGR,5,57.27069351230425,51.118568232662184,76.42543859649122,46.98224852071006
BIH,3,,65.70175438596492,,42.65927977839335
BIH,4,75.66867989646246,70.34482758620689,62.7906976744186,42.297650130548305
BLR,2,,67.24313326551373,,
BLR,3,,66.24737945492663,,57.629960871995536
BLR,6,,,,58.032128514056225
BOL,7,,,,73.41961174713788
BRA,2,72.7013135351228,71.15933752141633,64.63834672789896,
BRA,3,,73.1211317418214,,49.00181488203267
BRA,5,52.98057602143336,50.033534540576795,81.67785234899328,63.617318435754186
BRA,6,,,,65.8625730994152
BRA,7,,,,64.4878706199461
CAN,4,69.65699208443272,59.40803382663847,63.72289793759916,63.25203252032521
CAN,5,70.25986525505293,63.73679154658982,65.30805687203791,70.56213017751479
CAN,7,,,,61.24937779990045
CHE,3,,43.005181347150256,,43.027522935779814
CHE,5,64.51349141455437,59.721082854799015,48.72006606110653,74.57482993197279
CHL,2,84.23545331529093,76.16120218579235,57.865937072503414,
CHL,3,,60.550458715596335,,56.18556701030928
CHL,4,70.35132819194516,62.71331058020478,73.51676698194325,50.78260869565218
CHL,5,56.85441020191286,52.53699788583509,84.3558282208589,67.74541531823085
CHL,6,,,,70.50739957716702
CHL,7,,,,56.33507853403141
CHN,2,77.9835390946502,82.4074074074074,46.10655737704918,
CHN,3,,82.9090909090909,,60.31372549019608
CHN,4,81.9910514541387,74.3413516609393,35.67383918459796,60.726846424384526
CHN,5,82.28369629193644,73.96520695860828,40.35608308605341,64.57925636007828
CHN,6,,,,65.70561456752657
CHN,7,,,,68.71880199667221
COL,3,,67.39495798319328,,
COL,5,,,,69.93702353331123
